Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Annual Income_nan,Years in current job_nan,Bankruptcies_nan,Credit Score_nan,Term_Long Term,Term_Short Term,Credit Default
Rent,-0.14090896946950673,5 years,-0.11095342154390785,-1.2490195281557193,-0.7977683145727129,0.9615940195904079,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3681106212035643,0.4912212406668746,-0.8924602824117163,-0.2404665673306018,0,0,0,0,0,1,1
Rent,-0.40875006908465633,< 1 year,-0.11095342154390785,-1.656467941063722,-1.1244043646636028,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.37055430036191034,-0.8565017217302336,-1.417281344976443,-0.2265565436254781,1,0,0,1,0,1,0
Home Mortgage,0.18770072479419853,8 years,-0.11095342154390785,0.9919467428382966,-0.08768994480990826,1.0849377678139558,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,2.76051988315993,0.40173568781011637,0.9696105494104417,-0.22586104244022193,0,0,0,0,0,1,0
Rent,0.2486174753013041,10+ years,-0.11095342154390785,-0.4341227023397134,-0.47113226448182266,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3515954573485831,0.27339535248382385,0.44353172746906194,-0.2821966384459728,0,0,0,0,1,0,1
Home Mortgage,-0.25713724050191283,10+ years,-0.11095342154390785,-0.026674289431710546,1.3182652273204452,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.3698100325979471,2.0284957649268955,1.0674642289140421,-0.24950808273893219,0,0,0,0,0,1,1
Home Mortgage,1.4456674270984113,6 years,-0.11095342154390785,-0.4341227023397134,-1.1102027972683468,-0.7251786004928356,1.6647792271904904,2.545731972691612,debt consolidation,Short Term,-0.3524506761403224,-0.47183937528184405,1.2607399197930478,4.217696030161536,0,0,0,0,0,1,1
Rent,-0.8002025400166161,7 years,-0.11095342154390785,0.1770499170222909,-0.31491502313400543,-1.1143300006631784,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36733258573549527,-0.38617952408362455,-0.9052894280535765,-0.23698906140432088,0,0,0,0,0,1,0
Own Home,-0.7994123754376832,3 years,-0.11095342154390785,4.455258252556321,-0.9113808537347615,0.7213548893118378,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.36214820945003634,0.22754670916977338,-0.498110792518457,4.224651042014098,0,0,0,0,1,0,1
Rent,-0.06591741240015951,3 years,-0.11095342154390785,0.7882225363842952,-0.22970561876246917,-0.10703522033786315,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,2.76051988315993,-0.028894855129153012,-0.861770953621384,-0.2529855886652131,0,0,0,0,1,0,0
Home Mortgage,0.9123804142480024,6 years,-0.11095342154390785,0.9919467428382966,-0.32911659052926173,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.36505981250813335,0.7151443408682215,2.07241397085976,-0.22238353651394102,0,0,0,0,0,1,1
Own Home,-0.5610789843170577,7 years,-0.11095342154390785,-0.23039849588571198,-0.30071345573874964,0.0672206282162557,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3577694341053858,-0.07880830645540092,-0.8686467048804202,-0.30584367874468305,0,0,0,0,0,1,1
Rent,-0.40875006908465633,< 1 year,-0.11095342154390785,-1.656467941063722,-1.1670090668493713,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,take a trip,Short Term,-0.36666687956883925,-0.6985719751386803,-0.5580639894722483,-0.2265565436254781,1,0,0,1,0,1,0
Rent,-0.6448364296839414,5 years,-0.11095342154390785,-0.8415711152477163,0.054325729142652664,-0.9253028947230176,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.36942342684277724,-0.4294577740958443,0.03870090943702796,-0.2703731182966177,0,0,0,0,0,1,1
Home Mortgage,0.27649546935177927,10+ years,-0.11095342154390785,-0.8415711152477163,0.21054297049046988,-0.4646945996851725,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.36214820945003634,-0.6635428943276848,0.29461301727335104,-0.26133160288828733,0,0,0,0,1,0,1
Rent,-0.28029893972188247,7 years,-0.11095342154390785,-0.23039849588571198,-1.777676464845383,0.48823895421943014,-0.3409788778582933,-0.3370990397177327,business loan,Short Term,-0.36633678303278516,-0.5324528359343176,-0.7294546671974922,-0.248812581553676,0,0,0,0,0,1,0
Home Mortgage,0.6327856165212264,10+ years,-0.11095342154390785,1.603119362200301,-1.1670090668493713,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36363261015705195,0.5728162838528966,0.5060842938012693,-0.22586104244022193,0,0,0,0,0,1,0
Rent,-0.8180059356856971,< 1 year,-0.11095342154390785,0.7882225363842952,-0.6415510732248957,-0.826852839150058,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3647979405171093,-0.3333967965134726,-0.5431385782026331,-0.2821966384459728,0,0,0,0,0,1,0
Home Mortgage,-0.5365098044408639,10+ years,-0.11095342154390785,-0.8415711152477163,-0.30071345573874964,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36507428438132156,-0.7127390265929567,0.35137989047295476,-0.248812581553676,0,0,0,0,0,1,1
Rent,-0.7188896663158059,2 years,-0.11095342154390785,-1.0452953217017178,0.15373670090944522,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,wedding,Short Term,-0.36853788603102466,-0.8203368857393594,-0.3227791354130339,-0.22864304718124667,0,0,0,0,0,1,1
Home Mortgage,-0.4386034745824636,9 years,-0.11095342154390785,1.603119362200301,0.43776804881456705,0.6304779149367982,1.6647792271904904,2.545731972691612,debt consolidation,Short Term,-0.3644451024660452,0.01832864971843483,0.22359153780501365,-0.25576759340623784,0,0,0,0,0,1,0
Own Home,-0.4585057449143352,7 years,-0.11095342154390785,-0.8415711152477163,-0.27231032094823754,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3667523325343313,-0.7158474091905195,-1.1153352439546216,-0.24116206851585797,0,0,0,0,0,1,0
Own Home,-0.0744116816236878,1 year,-0.11095342154390785,2.0105677751083038,1.304063659925189,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.35959909235846216,4.377357030092866,0.1872842171322981,-0.24742157918316363,0,0,0,0,1,0,1
Home Mortgage,-0.33237572400217663,7 years,-0.11095342154390785,-1.0452953217017178,-0.6273495058296397,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,2.76051988315993,-0.7331826198307733,-0.7597247428622735,-0.23072955073701523,0,0,0,0,0,1,0
Home Mortgage,0.7850651464674445,1 year,-0.11095342154390785,1.603119362200301,1.7301106817828718,1.3942344008973209,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36143839852699733,0.2350187827216069,0.9577876112699037,-0.22168803532868483,0,0,0,0,0,1,0
Own Home,0.5691526752740391,10+ years,-0.11095342154390785,-0.4341227023397134,1.3750714969014695,1.2408982518899314,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3686157584915134,1.3658125057618844,1.5686394151976932,-0.2272520448107343,0,0,0,0,0,1,0
Rent,-0.3542534057813803,9 years,-0.11095342154390785,-0.026674289431710546,0.02592259435214058,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.3653947330019168,-0.5809914257270281,0.004992958142728529,-0.23072955073701523,0,0,0,0,0,1,0
Home Mortgage,0.07897901726165463,10+ years,-0.11095342154390785,0.3807741234762923,2.61060786028875,-0.866592770188648,3.6705373322392743,-0.3370990397177327,debt consolidation,Short Term,2.76051988315993,-0.37225157898300687,-0.5678745126101414,-0.22933854836650286,0,0,0,0,0,1,0
Home Mortgage,1.3870223997557378,10+ years,-0.11095342154390785,-0.8415711152477163,-0.08768994480990826,-0.05664798702100951,1.6647792271904904,2.545731972691612,other,Short Term,-0.364986764005374,-0.765999966870426,-1.4156881830993493,-0.22933854836650286,0,0,0,0,0,1,0
Home Mortgage,0.6493790726788166,10+ years,-0.11095342154390785,-0.23039849588571198,-0.13029464699567664,0.7297527615313134,-0.3409788778582933,-0.3370990397177327,small business,Long Term,-0.36263818572797885,-0.23470564904085547,0.8323470761050482,4.016000686437242,0,0,0,0,1,0,1
Home Mortgage,0.6297237287778615,3 years,-0.11095342154390785,0.7882225363842952,-0.6415510732248957,0.6354266610661321,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3634127755119554,0.08599574780383919,0.34265942546149425,-0.21960153177291628,0,0,0,0,0,1,0
Home Mortgage,-0.4412455873932704,10+ years,-0.11095342154390785,-0.026674289431710546,0.579783722767128,0.24949944398005214,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,2.76051988315993,0.6107744174962109,-0.09034520260756614,-0.25576759340623784,0,1,0,0,0,1,0
Rent,-0.21002367748304077,5 years,-0.11095342154390785,-0.4341227023397134,0.6507915597434084,-0.41685672043494537,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36139153722334033,-0.03732335409562122,-0.8721684311350485,-0.24185756970111416,0,0,0,0,0,1,0
Home Mortgage,-0.4295165819247357,9 years,-0.11095342154390785,-0.4341227023397134,-0.32911659052926173,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3677157458065727,-0.5626997896721396,-0.8287338073279661,-0.26341810644405583,0,0,0,0,1,0,0
Home Mortgage,-0.930135227964889,< 1 year,-0.11095342154390785,-0.4341227023397134,-0.7125589102011761,-0.05769772104844396,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36470559618343235,0.05359683688308904,-0.3563193854571129,-0.23281605429278376,0,0,0,0,0,1,0
Rent,-0.4460359601530509,10+ years,-0.11095342154390785,-0.4341227023397134,-0.5279385340628471,-0.3009360914053982,-0.3409788778582933,-0.3370990397177327,other,Short Term,2.76051988315993,-0.41463318016900663,-0.6916380352727931,-0.22168803532868483,0,0,0,0,0,1,0
Home Mortgage,0.5844127287046801,10+ years,-0.11095342154390785,1.603119362200301,0.579783722767128,1.6448209094463162,1.6647792271904904,2.545731972691612,debt consolidation,Short Term,-0.3495018596940272,-0.006717740827311125,1.238435653513735,4.155100923488479,0,0,0,0,0,1,1
Home Mortgage,5.866514783012334,< 1 year,7.253211725175639,-0.8415711152477163,0.02592259435214058,0.2527236270643151,3.6705373322392743,-0.3370990397177327,debt consolidation,Long Term,-0.349488766094476,0.46766926483149535,-0.6970044752798458,4.280291136834592,0,0,0,0,1,0,1
Home Mortgage,1.8237611781177874,6 years,-0.11095342154390785,0.1770499170222909,1.020032312020067,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.353644950246756,1.7159239841065959,1.7879926504859702,-0.2237745388844534,0,0,0,0,0,1,0
Rent,0.030062891297091943,< 1 year,-0.11095342154390785,-0.23039849588571198,-0.7977683145727129,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,2.76051988315993,-0.5418377603154204,-0.6460232952128456,-0.23142505192227142,0,0,0,0,0,1,0
Rent,-0.6962958978869442,10+ years,-0.11095342154390785,0.7882225363842952,0.23894610528098198,-0.11115917544564136,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3698844593743434,-0.05752784097977905,0.19483077339221588,4.259426101276906,0,0,0,0,0,1,1
Home Mortgage,-0.40405846689724245,8 years,-0.11095342154390785,0.9919467428382966,-0.32911659052926173,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36151558185066757,0.641021371234033,-0.10778613263048724,4.475031468706323,0,0,0,0,0,1,1
Home Mortgage,-0.40875006908465633,10+ years,-0.11095342154390785,-0.23039849588571198,0.09693043132842104,-1.1629176899330016,1.6647792271904904,2.545731972691612,debt consolidation,Short Term,-0.36782049460298233,-0.8217117472728968,-0.42071666554174464,-0.2265565436254781,1,0,0,1,0,1,0
Home Mortgage,0.6463912628647267,3 years,-0.11095342154390785,0.1770499170222909,-1.2380169038256517,1.253869965228943,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3528772518309643,0.8327846668682884,-0.16648157020762555,-0.2877606479280223,0,0,0,0,1,0,1
Home Mortgage,-0.7798558021090948,5 years,-0.11095342154390785,-0.026674289431710546,-0.7551636123869445,-1.0302762974664628,3.6705373322392743,5.428562985100957,debt consolidation,Short Term,2.76051988315993,-0.5606076090776263,-0.31707729290554043,-0.24533507562739507,0,0,0,0,0,1,0
Rent,1.009570657456745,< 1 year,-0.11095342154390785,-0.026674289431710546,-0.826171449363225,-0.43035330078767403,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3587700607658253,-0.13481896979994498,-0.03810626316391303,-0.22516554125496577,0,0,0,0,0,1,0
Own Home,-0.40875006908465633,3 years,-0.11095342154390785,0.9919467428382966,-0.14449621439093244,-0.3038603504818227,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3557268325753977,0.08187116320322708,1.8232099130322532,-0.2265565436254781,1,0,0,1,1,0,1
Home Mortgage,-0.8988990344539493,< 1 year,-0.11095342154390785,1.8068435686543023,-1.0249933928968102,0.8755908103427426,-0.3409788778582933,-0.3370990397177327,small business,Short Term,-0.36864952619561914,-0.01950993074805011,-0.7782557310116271,-0.26689561237033677,0,0,0,0,0,1,1
Home Mortgage,-1.1551839771022057,9 years,-0.11095342154390785,0.9919467428382966,-0.25810875355298124,0.04570108065384945,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3674159712905319,-0.25891516734879605,-0.7322217378261288,-0.2536810898504693,0,0,0,0,0,1,1
Rent,0.7709162619759279,4 years,-0.11095342154390785,-0.23039849588571198,-0.669954208015408,-0.16709500290750567,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3545504760262447,0.13220305064837767,0.7859776804191089,-0.23212055310752758,0,0,0,0,0,1,1
Rent,-1.1828891226510392,2 years,-0.11095342154390785,-1.2490195281557193,-1.1386059320588588,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.37022558209949324,-0.8814883356875649,-0.958953828124103,-0.256463094591494,0,0,0,0,0,1,0
Home Mortgage,2.310181554380241,10+ years,-0.11095342154390785,0.9919467428382966,0.721799396719689,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3615093796193012,0.11576448883434393,0.47095088188009654,-0.22238353651394102,0,0,0,0,0,1,0
Rent,-0.40875006908465633,10+ years,-0.11095342154390785,-1.0452953217017178,-0.40012442750554217,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3633500640614733,-0.7478278839923669,0.11173480390801006,-0.2265565436254781,1,1,0,1,0,1,1
Rent,-0.40875006908465633,< 1 year,-0.11095342154390785,1.8068435686543023,-0.6273495058296397,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.35967558654531395,1.3255828617588128,0.12925958455604136,-0.2265565436254781,1,0,0,1,0,1,1
Home Mortgage,-0.28452138169055496,10+ years,-0.11095342154390785,1.1956709492922981,-0.2155040513672129,-0.4239799156211077,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36278910669122694,-0.15442569079995613,-0.5309802375616545,-0.24255307088637035,0,0,0,0,0,1,1
Home Mortgage,0.393884294609493,10+ years,-0.11095342154390785,-0.026674289431710546,1.162047985972628,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3624390251874368,1.0350686420635256,0.16103897147280624,-0.2404665673306018,0,0,0,0,1,0,0
Rent,-0.5310033450314255,7 years,-0.11095342154390785,-0.4341227023397134,-1.0107918255015542,0.6079836143489171,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.35793620521545905,0.23890426096856032,0.22602320593320938,-0.23212055310752758,0,0,0,0,0,1,0
Home Mortgage,-0.40875006908465633,5 years,-0.11095342154390785,-0.6378469087937149,-0.8829777189442494,-0.3100837736444698,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36284699418397964,-0.0797647318700356,-0.7370012234574099,-0.2265565436254781,1,0,0,1,0,1,0
Home Mortgage,1.4333211055525854,10+ years,-0.11095342154390785,-0.8415711152477163,-0.49953539927233476,0.20226141274550186,-0.3409788778582933,-0.3370990397177327,other,Short Term,-0.3566833544794542,-0.15269216973593075,1.883414661861375,-0.22238353651394102,0,0,0,0,0,1,0
Home Mortgage,-0.6912585986962473,4 years,-0.11095342154390785,0.7882225363842952,-1.1670090668493713,-0.17699249516617335,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3657827170307236,0.18002432138011218,-0.6212873608053373,-0.2404665673306018,0,0,0,0,0,1,0
Home Mortgage,-0.40875006908465633,10+ years,-0.11095342154390785,-0.23039849588571198,0.43776804881456705,1.6448209094463162,1.6647792271904904,2.545731972691612,debt consolidation,Long Term,-0.34767220144095085,0.9608858958409223,0.8873530861773378,-0.2265565436254781,1,0,0,1,1,0,0
Rent,-0.9295672971737811,6 years,-0.11095342154390785,0.1770499170222909,0.22474453788572568,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,business loan,Long Term,-0.3550121976946293,-0.23099950055914603,-1.2245087578480989,4.377661302770457,0,0,0,0,1,0,1
Rent,-0.17291063491628778,5 years,-0.11095342154390785,0.3807741234762923,-0.41432599490079824,-0.5740169005422746,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.365032247035394,-0.0010389649279176501,0.7241797697128933,-0.24394407325688272,0,0,0,0,0,1,0
Rent,-1.3725533142380184,10+ years,-0.11095342154390785,-1.4527437346097205,-1.5504513865212857,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3700264215589512,-0.6757373183642771,-1.368480281162308,-0.2515945862947007,0,1,0,0,0,1,1
Home Mortgage,0.37650067387297,2 years,-0.11095342154390785,-0.026674289431710546,1.2614589577394206,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3547275841885952,0.9379316858896898,-0.5866570526348257,-0.22099253414342865,0,0,0,0,0,1,0
Rent,-0.09110390835364458,10+ years,-0.11095342154390785,0.3807741234762923,1.5170871708540303,1.6448209094463162,1.6647792271904904,2.545731972691612,debt consolidation,Short Term,-0.3617595362844111,-0.06840718007124866,-0.939416632473427,-0.22168803532868483,0,0,0,0,0,1,0
Home Mortgage,-0.40875006908465633,7 years,-0.11095342154390785,-0.4341227023397134,-1.1954122016398834,-0.6700675640525269,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.36111450422230956,-0.2682403151414843,-0.027960337525579124,-0.2265565436254781,1,0,0,1,1,0,0
Rent,-0.5817714192278621,6 years,-0.11095342154390785,-1.4527437346097205,-0.8119698819679689,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36850756401101137,-0.725112780394793,-1.4129211124707128,-0.29749766452160886,0,0,0,0,0,1,1
Rent,1.6216025091264321,3 years,-0.11095342154390785,1.8068435686543023,1.162047985972628,1.6448209094463162,1.6647792271904904,2.545731972691612,buy house,Long Term,-0.3577928647572143,0.18773550128560437,1.2594821604163948,-0.24950808273893219,0,0,0,0,1,0,0
Home Mortgage,-0.13421726319166905,< 1 year,-0.11095342154390785,-0.23039849588571198,-0.6557526406201519,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3560679553005476,1.2107520354142352,0.6259068370837417,-0.2522900874799569,0,0,0,0,0,1,1
Home Mortgage,-0.03285396330043744,10+ years,-0.11095342154390785,1.3993951557462996,-0.059286810019396174,0.14752528131499118,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36489648708215255,-0.27075093185490035,0.40806291304744835,-0.2230790376991972,0,0,0,0,0,1,0
Home Mortgage,-0.40875006908465633,7 years,-0.11095342154390785,0.1770499170222909,-0.10189151220516404,-0.3615957219907175,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3649564419853607,-0.5132047744647944,-0.2785898559799597,-0.2265565436254781,1,0,0,1,0,1,1
Home Mortgage,-0.7105435529508275,< 1 year,-0.11095342154390785,-1.0452953217017178,-0.982388690711042,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3681492128653994,-0.8866291222912264,-1.1617046396405608,-0.23907556496008942,0,0,0,0,0,1,1
Own Home,0.43544201293274337,5 years,-0.11095342154390785,-1.0452953217017178,0.45196961620982334,-0.13230381799824958,-0.3409788778582933,-0.3370990397177327,medical bills,Long Term,-0.3546483334544695,-0.013890931437071303,-0.6441785814604213,-0.28080563607546044,0,0,0,0,1,0,0
